Source ,American Community Survey,,,
Note ,Education Attainment 2015,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1501&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
18139,"Rush County, Indiana",2015,Total; Estimate; Population 25 years and over,11670
18141,"St. Joseph County, Indiana",2015,Total; Estimate; Population 25 years and over,172854
18143,"Scott County, Indiana",2015,Total; Estimate; Population 25 years and over,16254
18145,"Shelby County, Indiana",2015,Total; Estimate; Population 25 years and over,30456
18147,"Spencer County, Indiana",2015,Total; Estimate; Population 25 years and over,14471
18149,"Starke County, Indiana",2015,Total; Estimate; Population 25 years and over,15800
18151,"Steuben County, Indiana",2015,Total; Estimate; Population 25 years and over,23141
18153,"Sullivan County, Indiana",2015,Total; Estimate; Population 25 years and over,15024
18155,"Switzerland County, Indiana",2015,Total; Estimate; Population 25 years and over,7055
18157,"Tippecanoe County, Indiana",2015,Total; Estimate; Population 25 years and over,99327
18159,"Tipton County, Indiana",2015,Total; Estimate; Population 25 years and over,10981
18161,"Union County, Indiana",2015,Total; Estimate; Population 25 years and over,4963
18163,"Vanderburgh County, Indiana",2015,Total; Estimate; Population 25 years and over,121733
18165,"Vermillion County, Indiana",2015,Total; Estimate; Population 25 years and over,11097
18167,"Vigo County, Indiana",2015,Total; Estimate; Population 25 years and over,69381
18169,"Wabash County, Indiana",2015,Total; Estimate; Population 25 years and over,22061
18171,"Warren County, Indiana",2015,Total; Estimate; Population 25 years and over,5933
18173,"Warrick County, Indiana",2015,Total; Estimate; Population 25 years and over,41492
18175,"Washington County, Indiana",2015,Total; Estimate; Population 25 years and over,18908
18177,"Wayne County, Indiana",2015,Total; Estimate; Population 25 years and over,46353
18179,"Wells County, Indiana",2015,Total; Estimate; Population 25 years and over,18746
18181,"White County, Indiana",2015,Total; Estimate; Population 25 years and over,16792
18183,"Whitley County, Indiana",2015,Total; Estimate; Population 25 years and over,22818
0,United States,2015,Total; Estimate; Population 25 years and over - Less than 9th grade,12093869
18000,Indiana ,2015,Total; Estimate; Population 25 years and over - Less than 9th grade,172868
18001,"Adams County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1551
18003,"Allen County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,8983
18005,"Bartholomew County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1710
18007,"Benton County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,102
18009,"Blackford County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,379
18011,"Boone County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,852
18013,"Brown County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,217
18015,"Carroll County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,583
18017,"Cass County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1708
18019,"Clark County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,3162
18021,"Clay County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,632
18023,"Clinton County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1393
18025,"Crawford County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,379
18027,"Daviess County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2734
18029,"Dearborn County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,995
18031,"Decatur County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,600
18033,"DeKalb County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,974
18035,"Delaware County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2312
18037,"Dubois County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1701
18039,"Elkhart County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,10544
18041,"Fayette County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1051
