Source ,American Community Survey,,,
Note ,Education Attainment 2015,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1501&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
0,United States,2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),58722528
18000,Indiana ,2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),1494302
18001,"Adams County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9221
18003,"Allen County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),68616
18005,"Bartholomew County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),18380
18007,"Benton County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),2662
18009,"Blackford County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4325
18011,"Boone County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),10652
18013,"Brown County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4185
18015,"Carroll County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),5680
18017,"Cass County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),10537
18019,"Clark County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),26408
18021,"Clay County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),8182
18023,"Clinton County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9797
18025,"Crawford County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),3669
18027,"Daviess County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7467
18029,"Dearborn County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),13475
18031,"Decatur County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7991
18033,"DeKalb County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),11406
18035,"Delaware County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),25252
18037,"Dubois County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),11938
18039,"Elkhart County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),46665
18041,"Fayette County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7086
18043,"Floyd County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),16537
18045,"Fountain County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),5147
18047,"Franklin County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6626
18049,"Fulton County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6106
18051,"Gibson County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9212
18053,"Grant County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),18691
18055,"Greene County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9369
18057,"Hamilton County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),30369
18059,"Hancock County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),16033
18061,"Harrison County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),11384
18063,"Hendricks County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),29191
18065,"Henry County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),15102
18067,"Howard County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),20735
18069,"Huntington County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),10770
18071,"Jackson County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),14130
18073,"Jasper County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9424
18075,"Jay County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6759
18077,"Jefferson County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),8676
18079,"Jennings County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),8863
18081,"Johnson County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),32510
18083,"Knox County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9400
18085,"Kosciusko County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),19333
18087,"LaGrange County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7165
18089,"Lake County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),115279
18091,"LaPorte County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),30260
18093,"Lawrence County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),13743
18095,"Madison County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),35101
18097,"Marion County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),171868
18099,"Marshall County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),12496
18101,"Martin County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),3072
18103,"Miami County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),10634
18105,"Monroe County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),17718
18107,"Montgomery County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),11247
18109,"Morgan County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),19600
18111,"Newton County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4873
18113,"Noble County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),12852
18115,"Ohio County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),2172
18117,"Orange County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6249
18119,"Owen County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6521
18121,"Parke County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4890
18123,"Perry County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6986
18125,"Pike County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4196
18127,"Porter County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),39503
18129,"Posey County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6970
18131,"Pulaski County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4168
18133,"Putnam County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),10562
18135,"Randolph County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7745
18137,"Ripley County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),8679
18139,"Rush County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),5531
18141,"St. Joseph County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),53853
18143,"Scott County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6928
18145,"Shelby County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),13417
18147,"Spencer County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6306
18149,"Starke County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6690
18151,"Steuben County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),8823
18153,"Sullivan County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),6330
18155,"Switzerland County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),3287
18157,"Tippecanoe County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),26425
18159,"Tipton County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4444
18161,"Union County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),2114
18163,"Vanderburgh County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),41949
18165,"Vermillion County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),4869
18167,"Vigo County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),23330
18169,"Wabash County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9365
18171,"Warren County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),2601
18173,"Warrick County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),14023
18175,"Washington County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),8678
18177,"Wayne County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),17901
18179,"Wells County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7839
18181,"White County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),7443
18183,"Whitley County, Indiana",2015,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),9646
0,United States,2015,"Total; Estimate; Population 25 years and over - Some college, no degree",44529161
18000,Indiana ,2015,"Total; Estimate; Population 25 years and over - Some college, no degree",901226
18001,"Adams County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3890
18003,"Allen County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",53799
18005,"Bartholomew County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",9639
18007,"Benton County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1102
18009,"Blackford County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1519
18011,"Boone County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",6348
18013,"Brown County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2349
18015,"Carroll County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2849
18017,"Cass County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5162
18019,"Clark County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",18275
18021,"Clay County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3249
18023,"Clinton County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3969
18025,"Crawford County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1236
18027,"Daviess County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2915
18029,"Dearborn County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",7344
18031,"Decatur County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3337
18033,"DeKalb County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",6017
18035,"Delaware County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",15540
18037,"Dubois County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4365
18039,"Elkhart County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",24794
18041,"Fayette County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3322
18043,"Floyd County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",11629
18045,"Fountain County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2614
18047,"Franklin County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2579
18049,"Fulton County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2912
18051,"Gibson County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4991
18053,"Grant County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",8982
18055,"Greene County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4568
18057,"Hamilton County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",33913
18059,"Hancock County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",10921
18061,"Harrison County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5878
18063,"Hendricks County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",22756
18065,"Henry County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",6875
18067,"Howard County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",13773
18069,"Huntington County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4943
18071,"Jackson County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4897
18073,"Jasper County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4920
18075,"Jay County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2455
18077,"Jefferson County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4910
18079,"Jennings County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3458
18081,"Johnson County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",19431
18083,"Knox County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4750
18085,"Kosciusko County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",10313
18087,"LaGrange County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3119
18089,"Lake County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",75856
18091,"LaPorte County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",16908
18093,"Lawrence County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",6354
18095,"Madison County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",19510
18097,"Marion County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",127713
18099,"Marshall County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5548
18101,"Martin County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1208
18103,"Miami County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5596
18105,"Monroe County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",14429
18107,"Montgomery County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5247
18109,"Morgan County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",9738
18111,"Newton County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1957
18113,"Noble County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",6399
18115,"Ohio County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",682
18117,"Orange County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2599
18119,"Owen County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3280
18121,"Parke County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2709
18123,"Perry County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2174
18125,"Pike County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1770
18127,"Porter County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",23547
18129,"Posey County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4075
18131,"Pulaski County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2025
18133,"Putnam County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5322
18135,"Randolph County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3551
18137,"Ripley County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3454
18139,"Rush County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2119
18141,"St. Joseph County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",36686
18143,"Scott County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3175
18145,"Shelby County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",6243
18147,"Spencer County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2910
18149,"Starke County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3048
18151,"Steuben County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",5138
18153,"Sullivan County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2733
18155,"Switzerland County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1400
18157,"Tippecanoe County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",20427
18159,"Tipton County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2159
18161,"Union County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1012
18163,"Vanderburgh County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",28190
18165,"Vermillion County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",2460
18167,"Vigo County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",15867
18169,"Wabash County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4359
18171,"Warren County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",1019
18173,"Warrick County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",9203
18175,"Washington County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3350
18177,"Wayne County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",9321
18179,"Wells County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3943
18181,"White County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",3354
18183,"Whitley County, Indiana",2015,"Total; Estimate; Population 25 years and over - Some college, no degree",4852
0,United States,2015,Total; Estimate; Population 25 years and over - Associate's degree,17029467
18000,Indiana ,2015,Total; Estimate; Population 25 years and over - Associate's degree,355635
18001,"Adams County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1567
18003,"Allen County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,22867
18005,"Bartholomew County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,4599
18007,"Benton County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,479
18009,"Blackford County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,745
18011,"Boone County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3202
18013,"Brown County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,914
18015,"Carroll County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1225
18017,"Cass County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2045
18019,"Clark County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,7402
18021,"Clay County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1736
18023,"Clinton County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1525
18025,"Crawford County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,464
18027,"Daviess County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1894
18029,"Dearborn County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3289
18031,"Decatur County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1429
18033,"DeKalb County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2556
18035,"Delaware County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,5728
18037,"Dubois County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3424
18039,"Elkhart County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,7826
18041,"Fayette County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1279
18043,"Floyd County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,4445
18045,"Fountain County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,868
18047,"Franklin County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1326
18049,"Fulton County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1064
18051,"Gibson County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2887
18053,"Grant County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3450
18055,"Greene County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2421
18057,"Hamilton County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,12530
18059,"Hancock County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,4682
18061,"Harrison County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2245
18063,"Hendricks County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,8943
18065,"Henry County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2661
18067,"Howard County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,4949
18069,"Huntington County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2093
18071,"Jackson County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2266
18073,"Jasper County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1646
18075,"Jay County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1086
18077,"Jefferson County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1595
18079,"Jennings County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1409
18081,"Johnson County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,9050
18083,"Knox County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3942
18085,"Kosciusko County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3537
18087,"LaGrange County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1234
18089,"Lake County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,26467
18091,"LaPorte County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,6417
18093,"Lawrence County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3443
18095,"Madison County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,7939
18097,"Marion County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,42723
18099,"Marshall County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2420
18101,"Martin County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,777
18103,"Miami County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1911
18105,"Monroe County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,5479
18107,"Montgomery County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1945
18109,"Morgan County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,4855
18111,"Newton County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,684
18113,"Noble County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2644
18115,"Ohio County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,419
18117,"Orange County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,770
18119,"Owen County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1071
18121,"Parke County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1083
18123,"Perry County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,980
18125,"Pike County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,741
18127,"Porter County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,10557
18129,"Posey County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1794
18131,"Pulaski County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,554
18133,"Putnam County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2075
18135,"Randolph County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1573
18137,"Ripley County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1544
18139,"Rush County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,624
18141,"St. Joseph County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,13235
18143,"Scott County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1412
18145,"Shelby County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2382
18147,"Spencer County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1493
18149,"Starke County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1431
18151,"Steuben County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2141
18153,"Sullivan County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1829
18155,"Switzerland County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,623
18157,"Tippecanoe County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,7897
18159,"Tipton County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,974
18161,"Union County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,317
18163,"Vanderburgh County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,9921
18165,"Vermillion County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1033
18167,"Vigo County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,5834
18169,"Wabash County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1570
18171,"Warren County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,542
18173,"Warrick County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,4219
18175,"Washington County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1527
18177,"Wayne County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,3660
18179,"Wells County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1931
18181,"White County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,1630
18183,"Whitley County, Indiana",2015,Total; Estimate; Population 25 years and over - Associate's degree,2021
0,United States,2015,Total; Estimate; Population 25 years and over - Bachelor's degree,39166047
18000,Indiana ,2015,Total; Estimate; Population 25 years and over - Bachelor's degree,664747
18001,"Adams County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2061
18003,"Allen County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,40881
18005,"Bartholomew County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,9697
18007,"Benton County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,709
18009,"Blackford County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,575
18011,"Boone County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,10178
18013,"Brown County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1229
18015,"Carroll County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1564
18017,"Cass County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2373
