Source ,United States Census Bureau,,,
Note ,Percentage Share of Total Establishments ,,,
URL ,http://www.census.gov/content/census/en/programs-surveys/cbp/data/tables.All.html/,,,
,,,,
Fips Code ,Geography ,Years ,Statistics ,Value 
18011,"Boone County, Indiana",2014,Logistics Establishments,309
18013,"Brown County, Indiana",2014,Logistics Establishments,105
18015,"Carroll County, Indiana",2014,Logistics Establishments,96
18017,"Cass County, Indiana",2014,Logistics Establishments,196
18019,"Clark County, Indiana",2014,Logistics Establishments,657
18021,"Clay County, Indiana",2014,Logistics Establishments,135
18023,"Clinton County, Indiana",2014,Logistics Establishments,165
18025,"Crawford County, Indiana",2014,Logistics Establishments,34
18027,"Daviess County, Indiana",2014,Logistics Establishments,191
18029,"Dearborn County, Indiana",2014,Logistics Establishments,227
18031,"Decatur County, Indiana",2014,Logistics Establishments,177
18033,"DeKalb County, Indiana",2014,Logistics Establishments,204
18035,"Delaware County, Indiana",2014,Logistics Establishments,576
18037,"Dubois County, Indiana",2014,Logistics Establishments,371
18039,"Elkhart County, Indiana",2014,Logistics Establishments,1228
18041,"Fayette County, Indiana",2014,Logistics Establishments,98
18043,"Floyd County, Indiana",2014,Logistics Establishments,316
18045,"Fountain County, Indiana",2014,Logistics Establishments,87
18047,"Franklin County, Indiana",2014,Logistics Establishments,104
18049,"Fulton County, Indiana",2014,Logistics Establishments,128
18051,"Gibson County, Indiana",2014,Logistics Establishments,178
18053,"Grant County, Indiana",2014,Logistics Establishments,324
18055,"Greene County, Indiana",2014,Logistics Establishments,145
18057,"Hamilton County, Indiana",2014,Logistics Establishments,1540
18059,"Hancock County, Indiana",2014,Logistics Establishments,272
18061,"Harrison County, Indiana",2014,Logistics Establishments,161
18063,"Hendricks County, Indiana",2014,Logistics Establishments,719
18065,"Henry County, Indiana",2014,Logistics Establishments,203
18067,"Howard County, Indiana",2014,Logistics Establishments,424
18069,"Huntington County, Indiana",2014,Logistics Establishments,236
18071,"Jackson County, Indiana",2014,Logistics Establishments,277
18073,"Jasper County, Indiana",2014,Logistics Establishments,231
18075,"Jay County, Indiana",2014,Logistics Establishments,91
18077,"Jefferson County, Indiana",2014,Logistics Establishments,161
18079,"Jennings County, Indiana",2014,Logistics Establishments,91
18081,"Johnson County, Indiana",2014,Logistics Establishments,719
18083,"Knox County, Indiana",2014,Logistics Establishments,264
18085,"Kosciusko County, Indiana",2014,Logistics Establishments,455
18087,"LaGrange County, Indiana",2014,Logistics Establishments,228
18089,"Lake County, Indiana",2014,Logistics Establishments,2378
18091,"LaPorte County, Indiana",2014,Logistics Establishments,621
18093,"Lawrence County, Indiana",2014,Logistics Establishments,216
18095,"Madison County, Indiana",2014,Logistics Establishments,490
18097,"Marion County, Indiana",2014,Logistics Establishments,5159
18099,"Marshall County, Indiana",2014,Logistics Establishments,266
18101,"Martin County, Indiana",2014,Logistics Establishments,50
18103,"Miami County, Indiana",2014,Logistics Establishments,156
18105,"Monroe County, Indiana",2014,Logistics Establishments,585
18107,"Montgomery County, Indiana",2014,Logistics Establishments,217
18109,"Morgan County, Indiana",2014,Logistics Establishments,269
18111,"Newton County, Indiana",2014,Logistics Establishments,74
18113,"Noble County, Indiana",2014,Logistics Establishments,210
18115,"Ohio County, Indiana",2014,Logistics Establishments,21
18117,"Orange County, Indiana",2014,Logistics Establishments,94
18119,"Owen County, Indiana",2014,Logistics Establishments,72
18121,"Parke County, Indiana",2014,Logistics Establishments,69
18123,"Perry County, Indiana",2014,Logistics Establishments,89
18125,"Pike County, Indiana",2014,Logistics Establishments,50
18127,"Porter County, Indiana",2014,Logistics Establishments,775
18129,"Posey County, Indiana",2014,Logistics Establishments,115
18131,"Pulaski County, Indiana",2014,Logistics Establishments,110
18133,"Putnam County, Indiana",2014,Logistics Establishments,151
18135,"Randolph County, Indiana",2014,Logistics Establishments,116
18137,"Ripley County, Indiana",2014,Logistics Establishments,155
18139,"Rush County, Indiana",2014,Logistics Establishments,98
18141,"St. Joseph County, Indiana",2014,Logistics Establishments,1420
18143,"Scott County, Indiana",2014,Logistics Establishments,109
18145,"Shelby County, Indiana",2014,Logistics Establishments,216
18147,"Spencer County, Indiana",2014,Logistics Establishments,117
18149,"Starke County, Indiana",2014,Logistics Establishments,90
18151,"Steuben County, Indiana",2014,Logistics Establishments,259
18153,"Sullivan County, Indiana",2014,Logistics Establishments,92
18155,"Switzerland County, Indiana",2014,Logistics Establishments,21
18157,"Tippecanoe County, Indiana",2014,Logistics Establishments,753
18159,"Tipton County, Indiana",2014,Logistics Establishments,80
18161,"Union County, Indiana",2014,Logistics Establishments,33
