Source ,Bureau of Economic Analysis/ America Community Survey ,,,
Note ,Per Capita Personal Income/Median Household Income,,,
URL ,https://bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=7#reqid=70&step=30&isuri=1&7022=20&7023=7&7024=non-industry&7033=-1&7025=4&7026=xx&7027=2015&7001=720&7028=3&7031=18000&7040=-1&7083=levels&7029=20&7090=70,,,
,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B19013&prodType=table(Median Household Income in the past 12 months),,,
,,,,
Fips ,Geography,Years ,Statistics ,Value 
18173,"Warrick, IN",2015,Per capita personal income (dollars) 2,48593
18175,"Washington, IN",2015,Per capita personal income (dollars) 2,35615
18177,"Wayne, IN",2015,Per capita personal income (dollars) 2,36494
18179,"Wells, IN",2015,Per capita personal income (dollars) 2,37823
18181,"White, IN",2015,Per capita personal income (dollars) 2,38545
18183,"Whitley, IN",2015,Per capita personal income (dollars) 2,39145
0,United States ,2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),53889
18000,Indiana,2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49255
18001,"Adams, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48188
18003,"Allen, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49092
18005,"Bartholomew, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),55050
18007,"Benton, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),47046
18009,"Blackford, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),38190
18011,"Boone, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),67552
18013,"Brown, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),54615
18015,"Carroll, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),52005
18017,"Cass, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),42290
18019,"Clark, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),51699
18021,"Clay, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),47602
18023,"Clinton, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48478
18025,"Crawford, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),38695
18027,"Daviess, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),47342
18029,"Dearborn, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),58680
18031,"Decatur, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49799
18033,"DeKalb, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48341
18035,"Delaware, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),38830
18037,"Dubois, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),53513
18039,"Elkhart, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),47913
18041,"Fayette, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),39379
18043,"Floyd, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),54914
18045,"Fountain, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),46760
18047,"Franklin, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),51748
18049,"Fulton, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45332
18051,"Gibson, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48303
18053,"Grant, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),40294
18055,"Greene, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45397
18057,"Hamilton, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),86222
18059,"Hancock, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),66606
18061,"Harrison, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),52128
18063,"Hendricks, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),70163
18065,"Henry, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),41855
18067,"Howard, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44226
18069,"Huntington, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),46945
18071,"Jackson, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),47000
18073,"Jasper, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),55374
18075,"Jay, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),41021
18077,"Jefferson, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45718
18079,"Jennings, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44736
18081,"Johnson, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),62147
18083,"Knox, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),42725
18085,"Kosciusko, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),52821
18087,"Lagrange, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49964
18089,"Lake, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),50135
18091,"LaPorte, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),46872
18093,"Lawrence, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45875
18095,"Madison, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44195
18097,"Marion, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),42168
18099,"Marshall, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48485
18101,"Martin, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44589
18103,"Miami, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45184
18105,"Monroe, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),42404
18107,"Montgomery, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48213
18109,"Morgan, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),55432
18111,"Newton, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),46895
18113,"Noble, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),49331
18115,"Ohio, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48780
18117,"Orange, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),39812
18119,"Owen, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),43948
18121,"Parke, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),40781
18123,"Perry, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),47470
18125,"Pike, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44399
18127,"Porter, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),63926
18129,"Posey, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),58101
18131,"Pulaski, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),43836
18133,"Putnam, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),51355
18135,"Randolph, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),40810
18137,"Ripley, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),51170
18139,"Rush, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45121
