Source , Indiana Youth Institute,,,
Note ,Public School Students Receiving Free or Reduced Price Lunches- 2015,,,
URL ,"http://datacenter.kidscount.org/data/tables/5187-public-school-students-receiving-free-or-reduced-price-lunches?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/1279,1280,1281/13762,11655",,,
,,,,
Fips ,Geography ,Year ,Statistic ,Value 
18017,"Cass County, Indiana",2015,Reduce Lunch,9.1
18019,"Clark County, Indiana",2015,Reduce Lunch,8.9
18021,"Clay County, Indiana",2015,Reduce Lunch,9.9
18023,"Clinton County, Indiana",2015,Reduce Lunch,8.2
18025,"Crawford County, Indiana",2015,Reduce Lunch,12
18027,"Daviess County, Indiana",2015,Reduce Lunch,9.5
18029,"Dearborn County, Indiana",2015,Reduce Lunch,5.9
18031,"Decatur County, Indiana",2015,Reduce Lunch,10.8
18033,"DeKalb County, Indiana",2015,Reduce Lunch,11.5
18035,"Delaware County, Indiana",2015,Reduce Lunch,8
18037,"Dubois County, Indiana",2015,Reduce Lunch,9
18039,"Elkhart County, Indiana",2015,Reduce Lunch,9.7
18041,"Fayette County, Indiana",2015,Reduce Lunch,9.9
18043,"Floyd County, Indiana",2015,Reduce Lunch,6.8
18045,"Fountain County, Indiana",2015,Reduce Lunch,8.4
18047,"Franklin County, Indiana",2015,Reduce Lunch,9.3
18049,"Fulton County, Indiana",2015,Reduce Lunch,9.3
18051,"Gibson County, Indiana",2015,Reduce Lunch,8.1
18053,"Grant County, Indiana",2015,Reduce Lunch,9.2
18055,"Greene County, Indiana",2015,Reduce Lunch,8.8
18057,"Hamilton County, Indiana",2015,Reduce Lunch,4.1
18059,"Hancock County, Indiana",2015,Reduce Lunch,6.1
18061,"Harrison County, Indiana",2015,Reduce Lunch,9.9
18063,"Hendricks County, Indiana",2015,Reduce Lunch,7.2
18065,"Henry County, Indiana",2015,Reduce Lunch,8.5
18067,"Howard County, Indiana",2015,Reduce Lunch,7.9
18069,"Huntington County, Indiana",2015,Reduce Lunch,9.8
18071,"Jackson County, Indiana",2015,Reduce Lunch,10.7
18073,"Jasper County, Indiana",2015,Reduce Lunch,7.6
