Source ,American Community Survey ,,,
Note ,Dependency Ratio,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B01001&prodType=table,,,
,,,,
Fips ,Geography ,Year ,Statistics ,Value 
18035,"Delaware County, Indiana",2015,Total 0 to 14 years old ,18383
18037,"Dubois County, Indiana",2015,Total 0 to 14 years old ,8531
18039,"Elkhart County, Indiana",2015,Total 0 to 14 years old ,47320
18041,"Fayette County, Indiana",2015,Total 0 to 14 years old ,4420
18043,"Floyd County, Indiana",2015,Total 0 to 14 years old ,14544
18045,"Fountain County, Indiana",2015,Total 0 to 14 years old ,3123
18047,"Franklin County, Indiana",2015,Total 0 to 14 years old ,4575
18049,"Fulton County, Indiana",2015,Total 0 to 14 years old ,4006
18051,"Gibson County, Indiana",2015,Total 0 to 14 years old ,6606
18053,"Grant County, Indiana",2015,Total 0 to 14 years old ,11914
18055,"Greene County, Indiana",2015,Total 0 to 14 years old ,6125
18057,"Hamilton County, Indiana",2015,Total 0 to 14 years old ,71436
18059,"Hancock County, Indiana",2015,Total 0 to 14 years old ,14127
18061,"Harrison County, Indiana",2015,Total 0 to 14 years old ,7416
18063,"Hendricks County, Indiana",2015,Total 0 to 14 years old ,33133
18065,"Henry County, Indiana",2015,Total 0 to 14 years old ,8351
18067,"Howard County, Indiana",2015,Total 0 to 14 years old ,15647
18069,"Huntington County, Indiana",2015,Total 0 to 14 years old ,6777
18071,"Jackson County, Indiana",2015,Total 0 to 14 years old ,8810
18073,"Jasper County, Indiana",2015,Total 0 to 14 years old ,6898
18075,"Jay County, Indiana",2015,Total 0 to 14 years old ,4581
18077,"Jefferson County, Indiana",2015,Total 0 to 14 years old ,5481
18079,"Jennings County, Indiana",2015,Total 0 to 14 years old ,5595
18081,"Johnson County, Indiana",2015,Total 0 to 14 years old ,30670
18083,"Knox County, Indiana",2015,Total 0 to 14 years old ,6653
18085,"Kosciusko County, Indiana",2015,Total 0 to 14 years old ,15978
18087,"LaGrange County, Indiana",2015,Total 0 to 14 years old ,10844
18089,"Lake County, Indiana",2015,Total 0 to 14 years old ,100196
18091,"LaPorte County, Indiana",2015,Total 0 to 14 years old ,20243
18093,"Lawrence County, Indiana",2015,Total 0 to 14 years old ,8407
18095,"Madison County, Indiana",2015,Total 0 to 14 years old ,23932
18097,"Marion County, Indiana",2015,Total 0 to 14 years old ,195901
18099,"Marshall County, Indiana",2015,Total 0 to 14 years old ,9809
18101,"Martin County, Indiana",2015,Total 0 to 14 years old ,1936
18103,"Miami County, Indiana",2015,Total 0 to 14 years old ,6495
18105,"Monroe County, Indiana",2015,Total 0 to 14 years old ,19190
18107,"Montgomery County, Indiana",2015,Total 0 to 14 years old ,7273
18109,"Morgan County, Indiana",2015,Total 0 to 14 years old ,13580
18111,"Newton County, Indiana",2015,Total 0 to 14 years old ,2557
18113,"Noble County, Indiana",2015,Total 0 to 14 years old ,10046
18115,"Ohio County, Indiana",2015,Total 0 to 14 years old ,996
18117,"Orange County, Indiana",2015,Total 0 to 14 years old ,3843
18119,"Owen County, Indiana",2015,Total 0 to 14 years old ,3790
18121,"Parke County, Indiana",2015,Total 0 to 14 years old ,3029
18123,"Perry County, Indiana",2015,Total 0 to 14 years old ,3425
18125,"Pike County, Indiana",2015,Total 0 to 14 years old ,2301
18127,"Porter County, Indiana",2015,Total 0 to 14 years old ,31395
18129,"Posey County, Indiana",2015,Total 0 to 14 years old ,4755
18131,"Pulaski County, Indiana",2015,Total 0 to 14 years old ,2439
18133,"Putnam County, Indiana",2015,Total 0 to 14 years old ,6091
18135,"Randolph County, Indiana",2015,Total 0 to 14 years old ,4956
18137,"Ripley County, Indiana",2015,Total 0 to 14 years old ,5661
18139,"Rush County, Indiana",2015,Total 0 to 14 years old ,3158
18141,"St. Joseph County, Indiana",2015,Total 0 to 14 years old ,53478
18143,"Scott County, Indiana",2015,Total 0 to 14 years old ,4475
18145,"Shelby County, Indiana",2015,Total 0 to 14 years old ,8635
18147,"Spencer County, Indiana",2015,Total 0 to 14 years old ,3929
18149,"Starke County, Indiana",2015,Total 0 to 14 years old ,4445
18151,"Steuben County, Indiana",2015,Total 0 to 14 years old ,5989
18153,"Sullivan County, Indiana",2015,Total 0 to 14 years old ,3482
18155,"Switzerland County, Indiana",2015,Total 0 to 14 years old ,2180
18157,"Tippecanoe County, Indiana",2015,Total 0 to 14 years old ,31553
18159,"Tipton County, Indiana",2015,Total 0 to 14 years old ,2743
18161,"Union County, Indiana",2015,Total 0 to 14 years old ,1318
18163,"Vanderburgh County, Indiana",2015,Total 0 to 14 years old ,33625
18165,"Vermillion County, Indiana",2015,Total 0 to 14 years old ,2896
18167,"Vigo County, Indiana",2015,Total 0 to 14 years old ,18810
18169,"Wabash County, Indiana",2015,Total 0 to 14 years old ,5715
