Source ,Kids Count Data Center ,,,
Note ,"Monthly Average Number Of Families Receiving TANF/Monthl Average Number of Persons Issued Food Stamps (SNAP)/Woman, Infants and Children (WIC)",,,
URL ,"http://datacenter.kidscount.org/data/tables/1113-monthly-average-number-of-persons-issued-food-stamps-snap?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/any/2433- TANF ",,,
,"http://datacenter.kidscount.org/data/tables/1113-monthly-average-number-of-persons-issued-food-stamps-snap?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/any/2433- SNAP",,,
,"http://datacenter.kidscount.org/data/tables/1117-women-infants-and-children-wic-participants?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/3994,3995,3996,3997,3998,3999/14861,14860-WIC",,,
Fips Code ,Geography ,Years,Statistics ,Value 
18105,Monroe ,2015,SNAP,10750
18107,Montgomery ,2015,SNAP,4341
18109,Morgan ,2015,SNAP,8139
18111,Newton ,2015,SNAP,1655
18113,Noble ,2015,SNAP,4181
18115,Ohio,2015,SNAP,459
18117,Orange,2015,SNAP,2958
18119,Owen ,2015,SNAP,3021
18121,Parke,2015,SNAP,2107
18123,Perry,2015,SNAP,1855
18125,Pike ,2015,SNAP,1270
18127,Porter,2015,SNAP,13814
18129,Posey,2015,SNAP,2204
18131,Pulaski,2015,SNAP,1572
18133,Putnam ,2015,SNAP,3643
18135,Randolph ,2015,SNAP,3650
18137,Ripley,2015,SNAP,2806
18139,Rush ,2015,SNAP,1946
18141,St. Joseph,2015,SNAP,40495
18143,Scott,2015,SNAP,3942
18145,Shelby ,2015,SNAP,5199
18147,Spencer ,2015,SNAP,1517
18149,Starke,2015,SNAP,3791
18151,Steuben ,2015,SNAP,2915
18153,Sullivan ,2015,SNAP,2717
18155,Switzerland ,2015,SNAP,1387
18157,Tippecanoe ,2015,SNAP,16373
18159,Tipton,2015,SNAP,1359
18161,Union ,2015,SNAP,886
18163,Vanderburgh ,2015,SNAP,25822
18165,Vermillion ,2015,SNAP,2290
18167,Vigo ,2015,SNAP,17687
18169,Wabash ,2015,SNAP,3351
18171,Warren ,2015,SNAP,783
18173,Warrick ,2015,SNAP,3414
18175,Washington ,2015,SNAP,3756
18177,Wayne ,2015,SNAP,11068
18179,Wells,2015,SNAP,2017
18181,White ,2015,SNAP,2251
18183,Whitley,2015,SNAP,2231
18000,Indiana ,2015,WIC ,260842
18001,Adams ,2015,WIC ,1055
18003,Allen,2015,WIC ,16951
18005,Bartholmew ,2015,WIC ,2901
18007,Benton,2015,WIC ,389
18009,Blackford ,2015,WIC ,633
18011,Boone ,2015,WIC ,1078
18013,Brown ,2015,WIC ,378
18015,Carroll ,2015,WIC ,583
18017,Cass ,2015,WIC ,2185
18019,Clark ,2015,WIC ,4805
18021,Clay,2015,WIC ,1345
18023,Clinton ,2015,WIC ,1781
18025,Crawford ,2015,WIC ,479
18027,Daviess,2015,WIC ,1180
